0,13786434,7461199,6325235
1,15657955,8574973,7082982
2,15617375,8507697,7109678
3,15250805,8272491,6978314
4,15220041,8246206,6973835
5,14732137,7988151,6743986
6,14804470,8034452,6770018
7,13429161,7292300,6136861
8,13666956,7423559,6243397
9,14248825,7726203,6522622
10,14454357,7830808,6623549
11,13935714,7522558,6413156
12,15399559,8288987,7110572
13,15225032,8161000,7064032
14,15893800,8463924,7429876
15,18024484,9524898,8499586
16,18790521,9795181,8995340
17,20775369,10760828,10014541
18,20755274,10744556,10010718
19,21543466,11079367,10464099
20,28026954,14201091,13825863
21,26556649,13357755,13198894
22,24474192,12281148,12193044
23,25695955,12876542,12819413
24,22658768,11292037,11366731
25,19933683,9969984,9963699
26,19709177,9879292,9829885
27,19480836,9801611,9679225
28,22322147,11271599,11050548
29,19568009,9914552,9653457
30,18928369,9604727,9323642
31,19866458,10141582,9724876
32,19474874,9909833,9565041
33,18179478,9289224,8890254
34,20689024,10576456,10112568
35,21186516,10817432,10369084
36,22906980,11690644,11216336
37,23990208,12283353,11706855
38,24730460,12662559,12067901
39,25211795,12937116,12274679
40,27397219,13993123,13404096
41,24956297,12723691,12232606
42,27032542,13782610,13249932
43,21355748,10856214,10499534
44,24012158,12253040,11759118
45,23962574,12252515,11710059
46,23355778,11867147,11488631
47,26972157,13803796,13168361
48,20075084,10224798,9850286
49,11228960,5628162,5600798
50,14097008,7205176,6891832
51,12838832,6624865,6213967
52,16617709,8570000,8047709
53,18351980,9422827,8929153
54,16847642,8540366,8307276
55,17610528,8973192,8637336
56,17738127,8981235,8756892
57,16093888,8099033,7994855
58,16167933,8153588,8014345
59,13701998,6875890,6826108
60,13618204,6917026,6701178
61,13029125,6690003,6339122
62,11276853,5719180,5557673
63,10791633,5492805,5298828
64,9951467,5015412,4936055
65,9073411,4564266,4509145
66,8640965,4391409,4249556
67,7942141,4003493,3938648
68,7740868,3904424,3836444
69,7715897,3884879,3831018
70,7389412,3724605,3664807
71,6265718,3116177,3149541
72,6893225,3449237,3443988
73,6343869,3149307,3194562
74,6080173,2964127,3116046
75,5632477,2690547,2941930
76,5175500,2454168,2721332
77,5082383,2420196,2662187
78,4254858,1983724,2271134
79,3706915,1730224,1976691
80,3737259,1716514,2020745
81,2816693,1257795,1558898
82,2757918,1212683,1545235
83,2237138,964710,1272428
84,1824190,765800,1058390
85,1648160,672819,975341
86,1344215,530641,813574
87,1065276,408984,656292
88,858879,324282,534597
89,715398,263084,452314
90,553805,193982,359823
91,371079,126484,244595
92,287676,94157,193519
93,209291,66717,142574
94,156456,49532,106924
95,117522,36268,81254
96,90889,28664,62225
97,68648,22045,46603
98,54689,18355,36334
99,38231,12384,25847
